Station,InUit2013,InUit2014,InUit2015,InUit2016,InUit2017,InUit2018
Vlaardingen Centrum,2790,2732,2577,2566,,
Vlaardingen Oost,2817,2783,2762,2802,,
Vlaardingen West,1951,1908,1761,1798,,
Vleuten,3334,3611,3717,3845,4200,4288
Vlissingen,2999,2858,2955,2939,2769,2728
Vlissingen Souburg,1007,1008,975,958,964,947
Voorburg,2050,2282,2302,2243,2043,1885
Voorhout,3452,3444,3310,3451,3408,3424
Voorschoten,2917,3085,3074,3247,3314,3427
Vught,2010,1863,1976,1976,1853,1852
Waddinxveen,1575,1592,1613,1715,1770,1847
Waddinxveen Noord,889,861,883,893,884,929
Waddinxveen Triangel,,,,,-,462
Weert,7390,7571,7694,7856,8084,7690
Weesp,9440,9222,9052,9533,9729,9930
Wezep,1067,1068,1048,1048,1085,1054
Wierden,1837,1740,1775,1861,1806,1250
Wijchen,4214,4045,4100,4113,4281,4446
Wijhe,1125,1139,1125,1156,1214,1217
Woerden,11648,12222,11948,12414,12872,13358
Wolfheze,542,535,527,559,558,600
Wolvega,1521,1579,1639,1645,1699,1575
Wormerveer,3864,3934,3804,3894,4132,4133
Zaandam,21778,21515,20790,21177,21643,22765
Zaandam Kogerveld,1713,1549,1445,1468,1449,1464
Zaandijk Zaanse Schans,,,3020,3305,3804,4190
Zaltbommel,3417,3440,3445,3600,3736,3862
Zandvoort aan Zee,5200,4685,4770,5254,5117,5704
Zevenbergen,1263,1248,1243,1266,1139,1117
Zoetermeer,5947,5674,5292,5349,5205,5044
Zoetermeer Oost,3196,3418,3345,3482,3283,3177
Zutphen,12104,11670,11732,11895,11936,11988
Zwijndrecht,5264,5474,5491,5517,5376,5427
Zwolle,38594,40591,41618,43542,45507,41100
