STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2
 43,17280211,3,29041,  270,  WZW,    0,                    ,     ,
 43,17280212,1,29041,  250,    W,   20,BET                 ,     ,
 43,17280212,2,29041,  280,    W,   20,BET                 ,     ,
 43,17280212,3,29043,  240,    W,   20,                    ,     ,
 43,17280213,1,29050,  250,  WZW,   20,                    ,     ,
 43,17280213,2,29050,  360,  WZW,   20,                    ,     ,
 43,17280213,3,29050,  290,  WZW,   20,                    ,     ,
 43,17280214,1,29050,  240,    W,   10,                    ,     ,
 43,17280214,2,29042,  420,    W,   10,                    ,     ,
 43,17280214,3,29041,  290,    W,   10,                    ,     ,
 43,17280215,1,29041,  280,    W,   10,                    ,     ,
 43,17280215,2,29031,  400,    W,   10,                    ,     ,
 43,17280215,3,29023,  280,    W,   10,                    ,     ,
 43,17280216,1,29030,  270,  WNW,   10,                    ,     ,
 43,17280216,2,29023,  380,  WNW,   10,                    ,     ,
 43,17280216,3,29023,  340,  WNW,   10,                    ,     ,
 43,17280217,1,29023,  340,    Z,    0,BET                 ,     ,
 43,17280217,2,29030,  380,    Z,    0,BET                 ,     ,
 43,17280217,3,29030,  340,    Z,    0,BET                 ,     ,
 43,17280218,1,29030,  350,    Z,    0,NEV                 ,     ,
 43,17280218,2,29023,  400,    Z,    0,NEV                 ,     ,
 43,17280218,3,29022,  350,    Z,    0,NEV                 ,     ,
 43,17280219,1,29021,  370,    N,    0,                    ,     ,
 43,17280219,2,29000,  400,    N,    0,REG                 ,   10,
 43,17280219,3,29000,  380,    N,    0,                    ,     ,
 43,17280220,1,29002,  350,    W,    0,BET                 ,     ,
 43,17280220,2,29021,  370,    W,    0,BET                 ,     ,
 43,17280220,3,29020,  400,    W,    0,REG                 ,    1,
 43,17280221,1,29013,  430,    N,    0,BET                 ,     ,
 43,17280221,2,29012,  470,    N,    0,BET                 ,     ,
 43,17280221,3,29012,  420,    N,    0,BET                 ,     ,
 43,17280222,1,29012,  460,    N,    0,BET                 ,     ,
 43,17280222,2,29022,  510,    N,    0,BET                 ,     ,
 43,17280222,3,29021,  420,    N,    0,BET                 ,     ,
 43,17280223,1,29020,  420,  NNO,   10,BET                 ,     ,
 43,17280223,2,29012,  460,  NNO,   10,BET                 ,     ,
 43,17280223,3,29001,  410,  NNO,   10,                    ,     ,
 43,17280224,1,29001,  390,    Z,   10,BET                 ,     ,
 43,17280224,2,29001,  430,    Z,   10,BET                 ,     ,
 43,17280224,3,29001,  370,    Z,   10,BET                 ,     ,
 43,17280225,1,29001,  370,   NO,    0,                    ,     ,
 43,17280225,2,29000,  430,   NO,    0,                    ,     ,
 43,17280225,3,29000,  460,   NO,    0,                    ,     ,
 43,17280226,1,29001,  330,    W,   10,                    ,     ,
 43,17280226,2,29003,  370,    W,   10,                    ,     ,
 43,17280226,3,29010,  300,    W,   10,BET                 ,     ,
 43,17280227,1,29011,  360,    O,   10,BET                 ,     ,
 43,17280227,2,29011,  380,    O,   10,BET                 ,     ,
 43,17280227,3,29012,  360,    O,   10,                    ,     ,
 43,17280228,1,29011,  400,    O,   30,BET                 ,     ,
 43,17280228,2,28103,  460,    O,   30,BETREG              ,   20,
 43,17280228,3,28081,  380,    O,   30,REG                 ,     ,
 43,17280229,1,28080,  360,    O,   30,SNE                 ,     ,
